Timecount Esin Esind Ez
288 1440.000000 1438.582193 100.214216 1002.061470
289 1445.000000 1443.628735 100.239698 1002.065369
290 1450.000000 1448.652759 100.236680 1002.067711
291 1455.000000 1453.669048 100.229660 1002.069096
292 1460.000000 1458.656272 100.194203 1002.068071
293 1465.000000 1463.653512 100.174289 1002.067685
294 1470.000000 1468.653818 100.166643 1002.066914
295 1475.000000 1473.649258 100.160172 1002.065273
296 1480.000000 1478.643570 100.155152 1002.063368
297 1485.000000 1483.613042 100.120360 1002.059882
298 1490.000000 1488.594742 100.098781 1002.057614
299 1495.000000 1493.545078 100.052863 1002.052313
300 1500.000000 1498.479619 99.985907 1002.046554
301 1505.000000 1503.418100 99.930155 1002.041049
302 1510.000000 1508.358965 99.872008 1002.036646
303 1515.000000 1513.301542 99.827673 1002.031814
304 1520.000000 1518.250739 99.801041 1002.026936
305 1525.000000 1523.213959 99.794175 1002.022948
306 1530.000000 1528.173729 99.786309 1002.018523
307 1535.000000 1533.156239 99.792082 1002.016850
308 1540.000000 1538.139647 99.803360 1002.014800
309 1545.000000 1543.147153 99.829196 1002.015489
310 1550.000000 1548.174242 99.861770 1002.018710
311 1555.000000 1553.210620 99.901802 1002.022581
312 1560.000000 1558.249614 99.935590 1002.027108
313 1565.000000 1563.283238 99.962135 1002.031064
314 1570.000000 1568.323119 99.996008 1002.035212
315 1575.000000 1573.333656 99.999690 1002.036727
316 1580.000000 1578.341762 99.996397 1002.038400
317 1585.000000 1583.332849 99.977204 1002.038597
318 1590.000000 1588.319108 99.954868 1002.038407
319 1595.000000 1593.308349 99.942054 1002.038078
320 1600.000000 1598.304403 99.940821 1002.038004
321 1605.000000 1603.285840 99.929593 1002.036336
322 1610.000000 1608.264690 99.917001 1002.034442
323 1615.000000 1613.247710 99.910365 1002.032841
324 1620.000000 1618.224634 99.904517 1002.030195
325 1625.000000 1623.218123 99.907361 1002.029650
326 1630.000000 1628.219834 99.917051 1002.029879
327 1635.000000 1633.219143 99.917565 1002.030424
328 1640.000000 1638.219047 99.917042 1002.031152
329 1645.000000 1643.193977 99.893918 1002.029628
330 1650.000000 1648.178222 99.887659 1002.028398
331 1655.000000 1653.162668 99.878165 1002.027543
332 1660.000000 1658.138451 99.858891 1002.026157
333 1665.000000 1663.112542 99.841131 1002.024511
334 1670.000000 1668.075322 99.812726 1002.022035
335 1675.000000 1673.038677 99.790210 1002.019379
336 1680.000000 1677.997093 99.768157 1002.016043
337 1685.000000 1682.985137 99.776378 1002.015259
338 1690.000000 1687.987791 99.799990 1002.015541
339 1695.000000 1692.977651 99.799159 1002.015600
340 1700.000000 1697.967969 99.805470 1002.015111
341 1705.000000 1702.949468 99.800440 1002.014073
342 1710.000000 1707.936235 99.796808 1002.013839
343 1715.000000 1712.927373 99.797869 1002.013964
344 1720.000000 1717.933936 99.808916 1002.015809
345 1725.000000 1722.938399 99.817173 1002.017453
346 1730.000000 1727.961295 99.841542 1002.020726
347 1735.000000 1732.969294 99.859019 1002.021894
348 1740.000000 1737.976420 99.880555 1002.022415
349 1745.000000 1743.003166 99.909993 1002.025364
350 1750.000000 1748.028862 99.938313 1002.027987
351 1755.000000 1753.069632 99.973577 1002.032298
352 1760.000000 1758.113795 100.007868 1002.036965
353 1765.000000 1763.148581 100.029814 1002.040839
354 1770.000000 1768.161868 100.030738 1002.042740
355 1775.000000 1773.193427 100.048938 1002.046189
356 1780.000000 1778.211189 100.058387 1002.047940
357 1785.000000 1783.231998 100.068086 1002.050096
358 1790.000000 1788.256149 100.081866 1002.052375
359 1795.000000 1793.277983 100.095180 1002.054194
360 1800.000000 1798.291003 100.098937 1002.055253
361 1805.000000 1803.295951 100.098452 1002.055296
362 1810.000000 1808.299045 100.098318 1002.055003
363 1815.000000 1813.320039 100.113822 1002.056348
364 1820.000000 1818.341394 100.120702 1002.058370
365 1825.000000 1823.361139 100.133589 1002.059546
366 1830.000000 1828.386536 100.148900 1002.061349
367 1835.000000 1833.409202 100.160781 1002.062865
368 1840.000000 1838.419848 100.162152 1002.063185
369 1845.000000 1843.427851 100.161726 1002.063204
370 1850.000000 1848.439503 100.161626 1002.063804
371 1855.000000 1853.440225 100.148674 1002.063691
372 1860.000000 1858.443318 100.138913 1002.063801
373 1865.000000 1863.432906 100.123079 1002.062275
374 1870.000000 1868.426453 100.109761 1002.061320
375 1875.000000 1873.420366 100.102111 1002.060053
376 1880.000000 1878.406337 100.089537 1002.057960
377 1885.000000 1883.392527 100.078618 1002.055866
378 1890.000000 1888.388012 100.074889 1002.054785
379 1895.000000 1893.370212 100.058027 1002.052665
380 1900.000000 1898.363330 100.054485 1002.051346
381 1905.000000 1903.384878 100.074879 1002.052713
382 1910.000000 1908.414202 100.102825 1002.054560
383 1915.000000 1913.444613 100.126561 1002.056716
384 1920.000000 1918.478961 100.152038 1002.059173
385 1925.000000 1923.502857 100.166387 1002.060645
386 1930.000000 1928.546260 100.195454 1002.063950
387 1935.000000 1933.597788 100.228691 1002.068002
388 1940.000000 1938.653053 100.263679 1002.072245
389 1945.000000 1943.707033 100.286026 1002.077059
390 1950.000000 1948.756898 100.305125 1002.081280
391 1955.000000 1953.789908 100.314492 1002.083403
392 1960.000000 1958.815261 100.318834 1002.084615
393 1965.000000 1963.836479 100.317147 1002.085622
394 1970.000000 1968.846710 100.306073 1002.085635
395 1975.000000 1973.853243 100.287881 1002.085730
396 1980.000000 1978.849641 100.268388 1002.084425
397 1985.000000 1983.828614 100.237393 1002.081405
398 1990.000000 1988.810355 100.215814 1002.078294
399 1995.000000 1993.796120 100.197800 1002.075722
400 2000.000000 1998.787470 100.189228 1002.073415
